Date,Time,Y,Open,High,Close,Low,Volume
2012.12.11,15:00,1710.02,1709.05,1709.95,1708.53,1709.78,1434
2012.12.11,16:00,1710.16,1709.85,1710.19,1709.57,1709.84,650
2012.12.11,17:00,1709.82,1709.86,1710.16,1709.73,1710.16,149
2012.12.11,18:00,1709.47,1710.51,1710.51,1708.92,1709.12,1177
2012.12.11,19:00,1710.79,1709.13,1709.49,1708.64,1709.44,1518
2012.12.11,20:00,1711.56,1709.48,1711.02,1708.99,1710.55,2164
2012.12.11,21:00,1710.78,1710.64,1711.95,1710.52,1711.17,2197
2012.12.11,22:00,1710.7,1711.16,1711.33,1709.73,1710.22,1389
2012.12.11,23:00,1710.85,1710.28,1711.14,1710.06,1710.25,1428
2012.12.12,0:00,1712.66,1710.26,1711.16,1710.19,1710.53,1228
2012.12.12,1:00,1712.9,1710.56,1713,1710.3,1712.32,1771
2012.12.12,2:00,1714.85,1712.3,1713.08,1711.59,1712.72,2098
2012.12.12,3:00,1714.61,1712.7,1715.22,1712.65,1714.47,2622
2012.12.12,4:00,1713.95,1714.53,1715.32,1713.82,1713.9,2149
2012.12.12,5:00,1713.89,1713.89,1714.35,1712.55,1713.54,2201
2012.12.12,6:00,1715.28,1713.53,1714.01,1712.69,1713.77,1972
2012.12.12,7:00,1716.7,1713.75,1715.89,1712.73,1714.66,2793
2012.12.12,8:00,1717.75,1714.65,1717.57,1713.76,1715.82,4065
2012.12.12,9:00,1714.24,1715.89,1718.88,1714.98,1716.61,4676
2012.12.12,10:00,1714.14,1716.5,1717.09,1707.14,1711.39,5166
2012.12.12,11:00,1722.26,1711.31,1714.49,1710.49,1713.79,3631
2012.12.12,12:00,1718.13,1713.35,1723.11,1708.08,1721.4,12474
2012.12.12,13:00,1715.89,1721.45,1721.64,1712.18,1714.62,7603
2012.12.12,14:00,1713.11,1714.57,1717.02,1711.96,1714.76,6082
2012.12.12,15:00,1711.77,1714.74,1714.87,1710.74,1711.34,3010
2012.12.12,16:00,1711.67,1711.38,1712.09,1711.14,1711.44,1038
2012.12.12,17:00,1710.06,1711.49,1711.8,1711.22,1711.54,169
2012.12.12,18:00,1706.42,1711.03,1711.07,1708.79,1709.05,1829
2012.12.12,19:00,1699.8,1709.04,1709.76,1702.77,1703.07,2840
2012.12.12,20:00,1701.23,1702.74,1702.74,1693.99,1696.85,6878
2012.12.12,21:00,1700.44,1696.84,1701.53,1696.48,1700.93,2985
2012.12.12,22:00,1701.13,1700.95,1700.98,1698.9,1699.89,2530
2012.12.12,23:00,1699.52,1699.87,1701.32,1699.01,1700.94,2107
2012.12.13,0:00,1700.06,1700.92,1701.07,1697.8,1697.97,2140
2012.12.13,1:00,1700.14,1697.86,1700.31,1695.53,1699.81,2926
2012.12.13,2:00,1698.26,1699.86,1700.59,1696.96,1699.68,2678
2012.12.13,3:00,1698.81,1699.69,1699.75,1696.22,1696.77,3147
2012.12.13,4:00,1696.98,1696.69,1699.28,1696.6,1698.34,2801
2012.12.13,5:00,1694.43,1698.33,1698.34,1694.12,1695.62,3550
2012.12.13,6:00,1694.78,1695.61,1695.75,1690.81,1693.1,3773
2012.12.13,7:00,1694.45,1693.08,1695.61,1691.93,1693.94,3317
2012.12.13,8:00,1694.5,1693.99,1694.89,1691,1694,6085
2012.12.13,9:00,1698.05,1694.03,1695.84,1689.34,1693.15,5929
2012.12.13,10:00,1700.12,1693.14,1699.51,1692.12,1696.58,7357
2012.12.13,11:00,1699.54,1696.57,1700.53,1695.88,1699.71,6131
2012.12.13,12:00,1696.54,1699.69,1702.37,1695.21,1696.7,4892
2012.12.13,13:00,1695.08,1696.68,1697.18,1693.32,1695.89,4118
2012.12.13,14:00,1697.54,1695.91,1695.93,1694.17,1694.22,3193
2012.12.13,15:00,1697.17,1694.24,1698.1,1694.08,1696.98,2497
2012.12.13,16:00,1697.33,1697.01,1697.37,1695.79,1696.97,1207
2012.12.13,17:00,1697.17,1696.94,1697.49,1696.94,1697.17,236
2012.12.13,18:00,1696.17,1697.31,1697.7,1695.63,1696.63,1815
2012.12.13,19:00,1699.71,1696.66,1697.11,1694.09,1695.22,2487
2012.12.13,20:00,1698.61,1695.28,1700.1,1695.28,1699.32,3476
2012.12.13,21:00,1697.38,1699.29,1699.6,1697.14,1697.62,2152
2012.12.13,22:00,1696.46,1697.72,1698.01,1695.84,1696.74,2279
2012.12.13,23:00,1697.88,1696.82,1696.84,1695.72,1696.07,1125
2012.12.14,0:00,1699.05,1696.09,1698.13,1696.02,1697.63,2264
2012.12.14,1:00,1699.51,1697.65,1699.8,1697.02,1698.29,2462
2012.12.14,2:00,1698.55,1698.24,1699.86,1697.77,1699.16,2731
2012.12.14,3:00,1698.48,1699.14,1700.36,1696.55,1696.73,3198
2012.12.14,4:00,1697.64,1696.68,1698.71,1696.4,1698.25,2453
2012.12.14,5:00,1696.92,1698.27,1698.71,1695.48,1696.56,2746
2012.12.14,6:00,1698.07,1696.59,1697.44,1696.24,1696.4,2115
2012.12.14,7:00,1696.55,1696.43,1699.33,1695.57,1696.81,3150
2012.12.14,8:00,1697.8,1696.84,1697.24,1693.8,1695.85,4341
2012.12.14,9:00,1696.27,1695.81,1697.9,1693.03,1697.69,5275
2012.12.14,10:00,1696.06,1697.68,1697.78,1693.41,1694.76,4693
2012.12.14,11:00,1696.43,1694.82,1697.15,1694.34,1694.97,3751
2012.12.14,12:00,1696.5,1695,1697.4,1693.81,1695.46,3140
2012.12.14,13:00,1696.54,1695.44,1696.7,1695.04,1696.3,2588
2012.12.14,14:00,1695.52,1696.27,1696.7,1695.82,1696.37,1242
2012.12.14,15:00,1695.93,1696.39,1696.65,1694.28,1694.39,1569
2012.12.14,16:00,1697.46,1694.34,1696.3,1694.34,1695.56,1463
2012.12.16,18:00,1693.21,1697.6,1699.7,1695.11,1695.22,2535
2012.12.16,19:00,1692.54,1695.2,1695.68,1690.23,1690.73,3836
2012.12.16,20:00,1691.97,1690.67,1693.39,1688.86,1691.68,4296
2012.12.16,21:00,1692.35,1691.64,1692.55,1691.28,1691.39,1723
2012.12.16,22:00,1691.95,1691.33,1692.64,1691.21,1692.06,1912
2012.12.16,23:00,1691.22,1692.04,1692.4,1691.42,1691.49,1609
2012.12.17,0:00,1691.11,1691.51,1691.54,1689.38,1690.9,1790
2012.12.17,1:00,1689.76,1690.91,1691.68,1689.38,1690.54,2401
2012.12.17,2:00,1689.66,1690.47,1690.59,1686.46,1688.92,3531
2012.12.17,3:00,1690.52,1688.91,1689.66,1687.82,1689.65,2859
2012.12.17,4:00,1690.38,1689.68,1691.06,1688.88,1689.98,2549
2012.12.17,5:00,1692.73,1689.99,1690.92,1689.1,1689.83,2380
2012.12.17,6:00,1692.07,1689.84,1693.32,1689.54,1692.13,2593
2012.12.17,7:00,1697.28,1692.14,1692.87,1690.93,1691.27,2258
2012.12.17,8:00,1696.38,1691.23,1697.97,1690.12,1696.59,4639
2012.12.17,9:00,1698.01,1696.69,1697.06,1694.49,1695.69,4716
2012.12.17,10:00,1697.57,1695.68,1699.23,1695.62,1696.78,4502
2012.12.17,11:00,1696.95,1696.77,1698.05,1694.73,1697.08,3731
2012.12.17,12:00,1696.86,1697.12,1697.72,1695.86,1696.18,2334
2012.12.17,13:00,1696.81,1696.2,1697.16,1695.58,1696.56,1775
2012.12.17,14:00,1697.88,1696.55,1697.03,1695.96,1696.58,1035
2012.12.17,15:00,1698.11,1696.6,1698.07,1696.42,1697.69,1294
2012.12.17,16:00,1697.94,1697.71,1698.28,1697.57,1697.93,662
2012.12.17,17:00,1697.96,1697.91,1697.99,1697.67,1697.89,97
2012.12.17,18:00,1697.55,1697.72,1698.8,1696.99,1697.11,1138
2012.12.17,19:00,1699.71,1697.18,1697.59,1696.04,1697.51,1585
2012.12.17,20:00,1699.71,1697.53,1700.23,1697.53,1699.19,2642
2012.12.17,21:00,1701.94,1699.2,1699.9,1698.45,1699.51,1697
